KVALUES
Results of phase equilibrium constant Ki at temperature = 620

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	
     226    14.33895    1.469556  0.09374314   0.0031784  7.314017e-005  1.592913e-006  
     227    14.27826    1.464042   0.0934525  0.003171317  7.305439e-005  1.592694e-006  
     228     14.2181    1.458577  0.09316456  0.00316431  7.297007e-005  1.592505e-006  
     229    14.15847     1.45316  0.09287927  0.003157379  7.28872e-005  1.592344e-006  
     230    14.09935     1.44779  0.09259661  0.003150521  7.280578e-005  1.592213e-006  
     231    14.04075    1.442468  0.09231654  0.003143737  7.272577e-005  1.59211e-006  
     232    13.98266    1.437192  0.09203902  0.003137025  7.264716e-005  1.592036e-006  
     233    13.92506    1.431961  0.09176402  0.003130385  7.256995e-005  1.59199e-006  
     234    13.86796    1.426776  0.09149152  0.003123815  7.24941e-005  1.591972e-006  
     235    13.81134    1.421636  0.09122148  0.003117315  7.241961e-005  1.591982e-006  
     236     13.7552     1.41654  0.09095386  0.003110884  7.234646e-005  1.592019e-006  
     237    13.69954    1.411487  0.09068864  0.003104521  7.227464e-005  1.592084e-006  
     238    13.64434    1.406477   0.0904258  0.003098225  7.220413e-005  1.592175e-006  
     239    13.58961     1.40151  0.09016528  0.003091995  7.213492e-005  1.592293e-006  
     240    13.53534    1.396584  0.08990708  0.003085831  7.206699e-005  1.592438e-006  
     241    13.48151      1.3917  0.08965116  0.003079731  7.200033e-005  1.592609e-006  
     242    13.42813    1.386857  0.08939749  0.003073696  7.193492e-005  1.592806e-006  
     243    13.37519    1.382054  0.08914605  0.003067723  7.187076e-005  1.59303e-006  
     244    13.32269    1.377291  0.08889681  0.003061813  7.180783e-005  1.593278e-006  
     245    13.27061    1.372567  0.08864973  0.003055965  7.174612e-005  1.593553e-006  
     246    13.21896    1.367883   0.0884048  0.003050178  7.168561e-005  1.593852e-006  
     247    13.16772    1.363236  0.08816199  0.003044451  7.162629e-005  1.594177e-006  
     248     13.1169    1.358628  0.08792128  0.003038784  7.156815e-005  1.594526e-006  
     249    13.06649    1.354057  0.08768263  0.003033176  7.151117e-005  1.5949e-006  
     250    13.01648    1.349523  0.08744602  0.003027626  7.145535e-005  1.595299e-006  
     251    12.96687    1.345026  0.08721144  0.003022133  7.140068e-005  1.595722e-006  
     252    12.91766    1.340565  0.08697885  0.003016698  7.134713e-005  1.596169e-006  
     253    12.86883     1.33614  0.08674823  0.003011318  7.129471e-005  1.59664e-006  
     254    12.82039     1.33175  0.08651956  0.003005994  7.12434e-005  1.597135e-006  
     255    12.77233    1.327395  0.08629282  0.003000726  7.119318e-005  1.597654e-006  
     256    12.72465    1.323075  0.08606798  0.002995511  7.114405e-005  1.598196e-006  
     257    12.67734    1.318789  0.08584503  0.00299035  7.1096e-005  1.598761e-006  
     258    12.63039    1.314536  0.08562393  0.002985243  7.104902e-005  1.59935e-006  
     259    12.58381    1.310317  0.08540467  0.002980188  7.100309e-005  1.599961e-006  
     260    12.53758     1.30613  0.08518723  0.002975185  7.09582e-005  1.600595e-006  
     261    12.49171    1.301976  0.08497159  0.002970233  7.091436e-005  1.601252e-006  
     262    12.44619    1.297855  0.08475773  0.002965333  7.087154e-005  1.601932e-006  
     263    12.40102    1.293765  0.08454562  0.002960482  7.082973e-005  1.602633e-006  
     264    12.35619    1.289706  0.08433524  0.002955681  7.078893e-005  1.603357e-006  
     265     12.3117    1.285679  0.08412659  0.00295093  7.074914e-005  1.604103e-006  
     266    12.26754    1.281683  0.08391963  0.002946227  7.071032e-005  1.604871e-006  
     267    12.22372    1.277717  0.08371435  0.002941573  7.067249e-005  1.605661e-006  
     268    12.18022    1.273781  0.08351074  0.002936966  7.063563e-005  1.606473e-006  
     269    12.13705    1.269874  0.08330876  0.002932406  7.059973e-005  1.607306e-006  
     270    12.09419    1.265997  0.08310841  0.002927893  7.056479e-005  1.60816e-006  
     271    12.05166    1.262149  0.08290966  0.002923426  7.053079e-005  1.609036e-006  
     272    12.00943     1.25833  0.08271251  0.002919005  7.049772e-005  1.609933e-006  
     273    11.96752     1.25454  0.08251692  0.002914629  7.046559e-005  1.610851e-006  
     274    11.92591    1.250777  0.08232289  0.002910297  7.043437e-005  1.61179e-006  
     275     11.8846    1.247042  0.08213039  0.00290601  7.040407e-005  1.612749e-006  
     276     11.8436    1.243335  0.08193942  0.002901767  7.037467e-005  1.613729e-006  
     277    11.80289    1.239655  0.08174995  0.002897567  7.034616e-005  1.61473e-006  
     278    11.76247    1.236002  0.08156197  0.00289341  7.031855e-005  1.615751e-006  
     279    11.72235    1.232376  0.08137547  0.002889296  7.029181e-005  1.616793e-006  
     280    11.68251    1.228776  0.08119042  0.002885223  7.026595e-005  1.617855e-006  
     281    11.64295    1.225202  0.08100681  0.002881193  7.024096e-005  1.618937e-006  
     282    11.60368    1.221653  0.08082463  0.002877203  7.021683e-005  1.620039e-006  
     283    11.56468    1.218131  0.08064386  0.002873254  7.019354e-005  1.621161e-006  
     284    11.52596    1.214633  0.08046448  0.002869346  7.017111e-005  1.622302e-006  
     285    11.48751    1.211161  0.08028649  0.002865478  7.014951e-005  1.623464e-006  
     286    11.44933    1.207713  0.08010987  0.002861649  7.012874e-005  1.624645e-006  
     287    11.41142     1.20429   0.0799346  0.00285786  7.01088e-005  1.625845e-006  
     288    11.37377    1.200891  0.07976067  0.002854109  7.008967e-005  1.627065e-006  
     289    11.33638    1.197516  0.07958806  0.002850397  7.007136e-005  1.628304e-006  
     290    11.29925    1.194164  0.07941677  0.002846723  7.005385e-005  1.629563e-006  
     291    11.26237    1.190836  0.07924678  0.002843086  7.003714e-005  1.630841e-006  
     292    11.22575    1.187532  0.07907807  0.002839487  7.002123e-005  1.632137e-006  
     293    11.18938     1.18425  0.07891064  0.002835925  7.00061e-005  1.633453e-006  
     294    11.15325    1.180991  0.07874447   0.0028324  6.999175e-005  1.634788e-006  
     295    11.11737    1.177755  0.07857954  0.002828911  6.997818e-005  1.636141e-006  
     296    11.08174    1.174541  0.07841585  0.002825458  6.996537e-005  1.637513e-006  
     297    11.04634    1.171349  0.07825338  0.00282204  6.995333e-005  1.638904e-006  
     298    11.01118    1.168179  0.07809212  0.002818658  6.994205e-005  1.640314e-006  
     299    10.97626     1.16503  0.07793206  0.002815311  6.993151e-005  1.641742e-006  
     300    10.94157    1.161903  0.07777319  0.002811998  6.992173e-005  1.643188e-006  
     301    10.90711    1.158797  0.07761549  0.00280872  6.991268e-005  1.644653e-006  
     302    10.87288    1.155712  0.07745896  0.002805475  6.990437e-005  1.646135e-006  
     303    10.83887    1.152648  0.07730357  0.002802265  6.989679e-005  1.647637e-006  
     304    10.80509    1.149604  0.07714933  0.002799087  6.988994e-005  1.649156e-006  
     305    10.77154    1.146581  0.07699622  0.002795943  6.988381e-005  1.650693e-006  
     306     10.7382    1.143578  0.07684422  0.002792832  6.987839e-005  1.652249e-006  
     307    10.70507    1.140595  0.07669334  0.002789753  6.987368e-005  1.653822e-006  
     308    10.67217    1.137632  0.07654355  0.002786706  6.986967e-005  1.655413e-006  
     309    10.63948    1.134688  0.07639484  0.002783691  6.986637e-005  1.657022e-006  
     310    10.60699    1.131764  0.07624722  0.002780708  6.986376e-005  1.658649e-006  
     311    10.57472    1.128859  0.07610066  0.002777756  6.986184e-005  1.660293e-006  
     312    10.54266    1.125973  0.07595516  0.002774835  6.986061e-005  1.661955e-006  
     313    10.51079    1.123106   0.0758107  0.002771945  6.986006e-005  1.663635e-006  
     314    10.47914    1.120257  0.07566728  0.002769085  6.986018e-005  1.665332e-006  
     315    10.44768    1.117427  0.07552488  0.002766256  6.986098e-005  1.667047e-006  
     316    10.41642    1.114616   0.0753835  0.002763456  6.986244e-005  1.668779e-006  
     317    10.38537    1.111822  0.07524313  0.002760686  6.986457e-005  1.670528e-006  
     318     10.3545    1.109046  0.07510376  0.002757946  6.986736e-005  1.672295e-006  
     319    10.32383    1.106289  0.07496538  0.002755235  6.98708e-005  1.674079e-006  
     320    10.29335    1.103549  0.07482797  0.002752553  6.987489e-005  1.67588e-006  
     321    10.26307    1.100826  0.07469154   0.0027499  6.987963e-005  1.677698e-006  
     322    10.23297    1.098121  0.07455607  0.002747275  6.988502e-005  1.679533e-006  
     323    10.20305    1.095433  0.07442155  0.002744678  6.989104e-005  1.681386e-006  
     324    10.17333    1.092761  0.07428797  0.002742109  6.989769e-005  1.683255e-006  
     325    10.14378    1.090107  0.07415534  0.002739568  6.990498e-005  1.685141e-006  
     326    10.11442    1.087469  0.07402362  0.002737055  6.991289e-005  1.687044e-006  
     327    10.08524    1.084848  0.07389283  0.002734569  6.992143e-005  1.688965e-006  
     328    10.05623    1.082243  0.07376295  0.00273211  6.993059e-005  1.690901e-006  
     329     10.0274    1.079655  0.07363397  0.002729678  6.994036e-005  1.692855e-006  
     330    9.998748    1.077083  0.07350588  0.002727272  6.995074e-005  1.694826e-006  
     331    9.970268    1.074526  0.07337868  0.002724893  6.996173e-005  1.696813e-006  
     332     9.94196    1.071985  0.07325236  0.00272254  6.997333e-005  1.698816e-006  
     333    9.913821     1.06946  0.07312691  0.002720213  6.998553e-005  1.700837e-006  
     334    9.885852    1.066951  0.07300233  0.002717912  6.999833e-005  1.702874e-006  
