Results for well: PROD1 in the reservoir: RES1

  t       BHP	     q(Gas)       q(Oil)
(days)   (psia)    (MSCF/day)   (STB/day)
190940    1000        19454.079   5416.17   
191300    1000        19484.953   5415.32   
191660    1000        19515.695   5414.49   
192020    1000        19546.166   5413.68   
192380    1000        19576.339   5412.89   
192740    1000        19606.137   5412.13   
193100    1000        19635.686   5411.4    
193460    1000        19665.117   5410.69   
193820    1000        19694.922   5409.99   
194180    1000        19724.821   5409.25   
194540    1000        19754.56    5408.51   
194900    1000        19784.435   5407.78   
195260    1000        19814.015   5407.07   
195620    1000        19843.572   5406.35   
195980    1000        19872.839   5405.69   
196340    1000        19901.933   5405.02   
196700    1000        19930.857   5404.37   
197060    1000        19959.374   5403.73   
197420    1000        19987.275   5403.05   
197780    1000        20014.808   5402.44   
198140    1000        20042.063   5401.81   
198500    1000        20069.059   5401.26   
198860    1000        20096.072   5400.67   
199220    1000        20122.758   5400.13   
199580    1000        20149.409   5399.56   
199940    1000        20175.54    5399.04   
200300    1000        20201.154   5398.57   
200660    1000        20226.356   5398.14   
201020    1000        20251.349   5397.73   
201380    1000        20276.297   5397.35   
201740    1000        20301.178   5396.96   
202100    1000        20325.982   5396.57   
202460    1000        20351.029   5396.16   
202820    1000        20375.894   5395.76   
203180    1000        20400.716   5395.38   
203540    1000        20425.971   5394.98   
203900    1000        20451.122   5394.58   
204260    1000        20475.999   5394.19   
204620    1000        20500.578   5393.77   
204980    1000        20525.049   5393.39   
205340    1000        20549.405   5392.98   
205700    1000        20573.895   5392.59   
206060    1000        20598.097   5392.25   
206420    1000        20622.2     5391.9    
206780    1000        20646.3     5391.58   
207140    1000        20670       5391.23   
207500    1000        20693.267   5390.95   
207860    1000        20716.13    5390.7    
208220    1000        20739.167   5390.53   
208580    1000        20761.835   5390.42   
208940    1000        20784.022   5390.35   
209300    1000        20806.037   5390.24   
209660    1000        20827.774   5390.17   
210020    1000        20849.139   5390.13   
210380    1000        20870.335   5390.09   
210740    1000        20891.249   5390.09   
211100    1000        20911.648   5390.1    
211460    1000        20931.767   5390.1    
211820    1000        20951.94    5390.13   
212180    1000        20972.068   5390.12   
212540    1000        20992.216   5390.11   
212900    1000        21012.147   5390.13   
213260    1000        21031.884   5390.15   
213620    1000        21051.589   5390.18   
213980    1000        21071.566   5390.2    
214340    1000        21091.564   5390.19   
214700    1000        21111.657   5390.19   
215060    1000        21131.645   5390.21   
215420    1000        21151.477   5390.19   
215780    1000        21171.443   5390.19   
216140    1000        21191.251   5390.19   
216500    1000        21210.93    5390.18   
216860    1000        21230.603   5390.2    
217220    1000        21250.147   5390.24   
217580    1000        21269.466   5390.28   
217940    1000        21288.614   5390.31   
218300    1000        21307.69    5390.4    
218660    1000        21326.295   5390.48   
219020    1000        21344.825   5390.59   
219380    1000        21363.08    5390.78   
219740    1000        21380.977   5390.95   
220100    1000        21398.47    5391.11   
220460    1000        21415.717   5391.31   
220820    1000        21432.75    5391.53   
221180    1000        21449.337   5391.74   
221540    1000        21465.922   5392.05   
221900    1000        21482.195   5392.35   
222260    1000        21498.356   5392.65   
222620    1000        21514.329   5392.88   
222980    1000        21530.474   5393.12   
223340    1000        21547.043   5393.32   
223700    1000        21564.414   5393.46   
224060    1000        21583.236   5393.53   
224420    1000        21603.864   5393.47   
224780    1000        21627.115   5393.2    
225140    1000        21653.128   5392.61   
225500    1000        21682.616   5391.84   
225860    1000        21715.332   5390.82   
226220    1000        21751.184   5389.62   
226580    1000        21789.066   5388.22   
226940    1000        21829.153   5386.71   
227300    1000        21870.73    5385.05   
227660    1000        21912.335   5383.33   
228020    1000        21951.244   5381.74   
228380    1000        21987.852   5380.36   
228740    1000        22022.578   5379.18   
229100    1000        22054.024   5378.17   
229460    1000        22081.703   5377.38   
229820    1000        22105.861   5376.81   
230180    1000        22126.995   5376.51   
230540    1000        22145.103   5376.38   
230900    1000        22160.897   5376.4    
231260    1000        22174.641   5376.55   
231620    1000        22187.013   5376.89   
231980    1000        22197.928   5377.33   
232340    1000        22208.088   5377.83   
232700    1000        22217.134   5378.38   
233060    1000        22225.773   5379.07   
233420    1000        22233.722   5379.82   
233780    1000        22241.325   5380.62   
234140    1000        22248.258   5381.43   
234500    1000        22255.191   5382.24   
234860    1000        22261.937   5383.14   
235220    1000        22268.61    5384.1    
235580    1000        22274.907   5385.08   
235940    1000        22281.102   5386.07   
236300    1000        22287.407   5387.01   
236660    1000        22293.624   5387.99   
237020    1000        22299.948   5389.06   
237380    1000        22305.793   5390.11   
237740    1000        22311.975   5391.13   
238100    1000        22317.806   5392.16   
238460    1000        22323.862   5393.14   
238820    1000        22329.933   5394.29   
239180    1000        22336.325   5395.4    
239540    1000        22342.673   5396.53   
239900    1000        22348.617   5397.63   
240260    1000        22354.854   5398.69   
240620    1000        22361.41    5399.85   
240980    1000        22368.114   5401.08   
241340    1000        22374.422   5402.24   
241700    1000        22380.818   5403.34   
242060    1000        22387.674   5404.46   
242420    1000        22394.099   5405.63   
242780    1000        22400.945   5406.78   
243140    1000        22408.007   5407.94   
243500    1000        22414.886   5409.13   
243860    1000        22422.38    5410.35   
244220    1000        22430.07    5411.58   
244580    1000        22437.129   5412.79   
244940    1000        22444.961   5414      
245300    1000        22452.876   5415.23   
245660    1000        22461.192   5416.46   
246020    1000        22469.19    5417.71   
246380    1000        22476.921   5419      
246740    1000        22486.675   5420.29   
247100    1000        22495.429   5421.62   
247460    1000        22505.207   5422.94   
247820    1000        22514.335   5424.22   
248180    1000        22525.041   5425.61   
248540    1000        22535.004   5427.06   
248900    1000        22546.694   5428.47   
249260    1000        22557.919   5429.9    
249620    1000        22571.547   5431.39   
249980    1000        22584.484   5432.85   
250340    1000        22598.37    5434.32   
250700    1000        22615.471   5435.87   
251060    1000        22632.322   5437.52   
251420    1000        22652.093   5438.93   
251780    1000        22678.781   5440.15   
252140    1000        22712.696   5440.58   
252500    1000        22771.677   5438.91   
252860    1000        22873.358   5433.37   
253220    1000        23077.929   5419.2    
253580    1000        23478.847   5389.16   
253940    1000        24109.773   5339.66   
254300    1000        24668.117   5293.37   
254660    1000        25086.746   5257.12   
255020    1000        25373.308   5230.95   
255380    1000        25599.953   5209.6    
255500    1000        25671.783   5202.87   
