 % Reservoir Output 
 % Unit for Total Component: B.O. ~ lb/day || Compositional ~ mol/day 

time	pres	temp	comp0	comp1	comp2	comp3	comp4	comp5	comp6	comp7	comp8	comp9	comp10	comp11	comp12	min0	min1	min2	min3	min4	min5	min6	min7	
day	psi	F	**	**	**	**	**	**	**	**	**	**	**	**	**	
   10.0092	   506.966	       582	63.388	32237	0.00243663	3.88409e-005	0.21784	0.275285	5.74488	14.9249	1.60689	2.12155	0.00013393	1.30787e-005	5.89466e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   10.0345	   506.905	       582	63.538	32235.2	0.00243887	3.89526e-005	0.217978	0.275272	5.74456	14.9252	1.60715	2.12467	0.000133966	1.30779e-005	5.89387e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   10.0947	   506.766	       582	63.9085	32231	0.00244521	3.94895e-005	0.218301	0.275241	5.74381	14.9258	1.60776	2.13209	0.000134044	1.30754e-005	5.89689e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   10.2103	    506.54	       582	64.6596	32222.8	0.00246011	4.14033e-005	0.218904	0.275182	5.74236	14.9272	1.60893	2.14627	0.000134169	1.30692e-005	5.9074e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   10.3894	   507.351	       582	65.6971	32210	0.00246865	4.24089e-005	0.219814	0.275088	5.7401	14.9292	1.61075	2.16822	0.000134176	1.30489e-005	5.95451e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   10.5735	   508.164	       582	66.6182	32196.7	0.00246916	3.99707e-005	0.220724	0.274988	5.73776	14.9312	1.61261	2.19074	0.00013413	1.3025e-005	6.00928e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   10.7048	   508.007	       582	67.303	32187.3	0.00247531	3.84938e-005	0.221355	0.274916	5.73609	14.9327	1.61394	2.20674	0.00013415	1.30116e-005	6.02631e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   10.8434	   507.651	       582	68.0908	32177.3	0.00248718	3.80602e-005	0.222065	0.274842	5.73433	14.9345	1.61544	2.22454	0.000134341	1.30055e-005	6.04024e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   11.0056	   507.261	       582	69.099	32165.7	0.00250683	3.94371e-005	0.222859	0.274759	5.73228	14.9366	1.6172	2.24523	0.000134531	1.29962e-005	6.05792e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
    11.203	   507.145	       582	70.383	32151.7	0.00253153	4.28666e-005	0.223781	0.274659	5.72979	14.9392	1.61933	2.27028	0.000134674	1.298e-005	6.0854e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   11.4545	   508.701	       582	71.6738	32133.4	0.00253357	3.97933e-005	0.224914	0.274522	5.72657	14.9425	1.62203	2.30213	0.000134556	1.29413e-005	6.17173e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
   11.5925	   508.596	       582	72.3974	32123.4	0.0025393	3.83674e-005	0.225576	0.274447	5.72481	14.9445	1.62361	2.32044	0.000134763	1.29357e-005	6.19176e-006	41248.8	63219.6	172563	281030	99113.3	45818.4	64025.4	222156	
