Results of block pressure and saturations for reservoir: RES1

BlockNo        P 	     Sg           So
t=0       (days)
83          4436.88     0.560385        0.439615        
84          4704.3      0.607886        0.392114        
85          4941.4      0.658583        0.341417        
86          5147.47     0.720974        0.279026        
87          5319.74     0.803915        0.196085        
88          5448.96     0.993471        0.00652878      
89          5563.48     1               0               
90          3650.96     0.450147        0.549853        
91          3869.89     0.499589        0.500411        
92          4157.27     0.54296         0.45704         
93          4446.4      0.591202        0.408798        
94          4713.45     0.640624        0.359376        
95          4950.54     0.695085        0.304915        
96          5157.12     0.764755        0.235245        
97          5329.2      0.885786        0.114214        
98          5458        1               0               
99          5590.72     1               0               
