KVALUES
Results of phase equilibrium constant Ki at temperature = 530

P(psia)  K[1]	K[2]	K[3]	K[4]	K[5]	K[6]	K[7]	K[8]	K[9]	
     229    4.351953    30.35443     13.6883     1.99033    0.611355   0.1037948  0.04426398  0.0003491544  7.805141e-008  
     230    4.334866    30.21931    13.62861    1.982876   0.6092856   0.1034988  0.04415259  0.000348902  7.823603e-008  
     231    4.317927    30.08534    13.56944    1.975488   0.6072349   0.1032055  0.04404232  0.000348656  7.84224e-008  
     232    4.301131    29.95251    13.51079    1.968164   0.6052025    0.102915  0.04393313  0.0003484165  7.861051e-008  
     233    4.284478    29.82079    13.45263    1.960904   0.6031883   0.1026273  0.04382503  0.0003481832  7.880038e-008  
     234    4.267965    29.69018    13.39498    1.953706    0.601192   0.1023423  0.04371799  0.0003479562  7.899199e-008  
     235    4.251591    29.56066    13.33783    1.946571   0.5992133   0.1020599    0.043612  0.0003477354  7.918535e-008  
     236    4.235355    29.43222    13.28115    1.939497   0.5972521   0.1017802  0.04350705  0.0003475207  7.938046e-008  
     237    4.219253    29.30485    13.22496    1.932484   0.5953082   0.1015031  0.04340312  0.0003473121  7.957731e-008  
     238    4.203286    29.17852    13.16925     1.92553   0.5933812   0.1012285  0.04330022  0.0003471095  7.977592e-008  
     239    4.187451    29.05323      13.114    1.918635   0.5914711   0.1009565  0.04319831  0.0003469128  7.997628e-008  
     240    4.171746    28.92897    13.05922    1.911799   0.5895775    0.100687  0.04309739  0.000346722  8.017838e-008  
     241     4.15617    28.80572    13.00489     1.90502   0.5877003     0.10042  0.04299744  0.0003465371  8.038224e-008  
     242    4.140721    28.68348    12.95102    1.898298   0.5858393   0.1001554  0.04289847  0.000346358  8.058786e-008  
     243    4.125398    28.56222    12.89759    1.891632   0.5839943  0.09989325  0.04280044  0.0003461846  8.079522e-008  
     244      4.1102    28.44194     12.8446    1.885021    0.582165  0.09963347  0.04270336  0.0003460168  8.100434e-008  
     245    4.095124    28.32262    12.79205    1.878466   0.5803514  0.09937605  0.04260721  0.0003458547  8.121522e-008  
     246    4.080169    28.20426    12.73993    1.871964   0.5785531  0.09912096  0.04251198  0.0003456982  8.142786e-008  
     247    4.065334    28.08683    12.68823    1.865516   0.5767701  0.09886817  0.04241766  0.0003455472  8.164226e-008  
     248    4.050618    27.97034    12.63695     1.85912   0.5750021  0.09861766  0.04232424  0.0003454016  8.185842e-008  
     249    4.036018    27.85477    12.58608    1.852777   0.5732489  0.09836939   0.0422317  0.0003452615  8.207635e-008  
