KVALUES
Results of phase equilibrium constant Ki at temperature = 563.4

P(psia)  K[1]	K[2]	
    8000    30.89064  0.07924985  
    8010    30.88086  0.07929885  
    8020    30.87109   0.0793478  
    8030    30.86134  0.07939669  
    8040    30.85159  0.07944553  
    8050    30.84186  0.07949433  
    8060    30.83215  0.07954307  
    8070    30.82244  0.07959176  
    8080    30.81275  0.07964041  
    8090    30.80307    0.079689  
    8100    30.79341  0.07973754  
    8110    30.78375  0.07978603  
    8120    30.77411  0.07983448  
    8130    30.76448  0.07988287  
    8140    30.75487  0.07993121  
    8150    30.74526   0.0799795  
    8160    30.73567  0.08002775  
    8170    30.72609  0.08007594  
    8180    30.71653  0.08012409  
    8190    30.70697  0.08017218  
    8200    30.69743  0.08022023  
    8210     30.6879  0.08026822  
    8220    30.67838  0.08031617  
    8230    30.66888  0.08036407  
    8240    30.65938  0.08041192  
    8250     30.6499  0.08045972  
    8260    30.64044  0.08050748  
    8270    30.63098  0.08055518  
    8280    30.62153  0.08060284  
    8290     30.6121  0.08065045  
    8300    30.60268  0.08069801  
    8310    30.59327  0.08074552  
    8320    30.58388  0.08079298  
    8330    30.57449   0.0808404  
    8340    30.56512  0.08088776  
    8350    30.55576  0.08093508  
    8360    30.54641  0.08098236  
    8370    30.53707  0.08102958  
    8380    30.52775  0.08107676  
    8390    30.51844  0.08112389  
    8400    30.50913  0.08117097  
    8410    30.49984    0.081218  
    8420    30.49057  0.08126499  
    8430     30.4813  0.08131193  
    8440    30.47205  0.08135883  
    8450     30.4628  0.08140567  
    8460    30.45357  0.08145247  
    8470    30.44435  0.08149923  
    8480    30.43514  0.08154593  
    8490    30.42595  0.08159259  
    8500    30.41676  0.08163921  
    8510    30.40759  0.08168578  
    8520    30.39843   0.0817323  
    8530    30.38928  0.08177877  
    8540    30.38014   0.0818252  
    8550    30.37101  0.08187158  
    8560    30.36189  0.08191792  
    8570    30.35279  0.08196421  
    8580    30.34369  0.08201046  
    8590    30.33461  0.08205666  
    8600    30.32554  0.08210281  
    8610    30.31648  0.08214892  
    8620    30.30743  0.08219498  
    8630    30.29839    0.082241  
    8640    30.28937  0.08228697  
