Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 7	565.488	99.67	3.58295	3.54183	0.0411199	0	0.937941	0.0620592	0		0.9665	0.0277032	0.00198504	0.00381184	0	0.151912	0.176168	0.223967	0.447953	0	
Seg 8	566.365	99.67	0.0563024	0.177985	-0.121682	0	0.88005	0.11995	0		0.96653	0.0276745	0.00198476	0.0038111	0	0.152133	0.176094	0.223918	0.447855	0	
Seg 9	567.167	99.67	0.109594	0.301022	-0.191427	0	0.89455	0.10545	0		0.966559	0.0276459	0.00198455	0.0038105	0	0.152334	0.176011	0.223879	0.447776	0	
Seg 10	568.158	99.67	0.162705	0.424374	-0.261669	0	0.858358	0.141642	0		0.966599	0.0276071	0.00198434	0.00380985	0	0.152583	0.175886	0.223838	0.447693	0	
Seg 11	569.22	99.67	0.235529	0.536595	-0.301065	0	0.845069	0.154931	0		0.966641	0.0275654	0.00198412	0.00380918	0	0.152849	0.175751	0.223794	0.447606	0	
Seg 12	570.305	99.67	0.307557	0.612389	-0.304831	0	0.841172	0.158828	0		0.966685	0.0275223	0.00198391	0.00380853	0	0.153121	0.175609	0.223751	0.447519	0	
Seg 13	571.4	99.67	0.379214	0.676447	-0.297233	0	0.83995	0.16005	0		0.966729	0.0274792	0.00198371	0.00380787	0	0.153395	0.175466	0.223708	0.447431	0	
Seg 14	572.502	99.67	0.450583	0.737217	-0.286634	0	0.839371	0.160629	0		0.966773	0.0274364	0.00198351	0.00380722	0	0.153671	0.175327	0.223663	0.44734	0	
Seg 15	573.611	99.67	0.521664	0.796896	-0.275232	0	0.838804	0.161196	0		0.966816	0.0273943	0.0019833	0.00380655	0	0.153948	0.17519	0.223616	0.447246	0	
Seg 16	574.733	99.67	0.592424	0.855603	-0.263179	0	0.837481	0.162519	0		0.966859	0.0273525	0.00198309	0.00380588	0	0.154229	0.175057	0.223567	0.447147	0	
Seg 17	575.888	99.67	0.662786	0.911189	-0.248403	0	0.832144	0.167856	0		0.966901	0.0273107	0.00198287	0.00380517	0	0.154518	0.174926	0.223515	0.447041	0	
Seg 18	577.175	99.67	0.732517	0.952691	-0.220175	0	0.808542	0.191458	0		0.966944	0.0272692	0.00198256	0.00380426	0	0.154841	0.17481	0.223446	0.446903	0	
Seg 19	578.961	99.67	0.800794	0.934378	-0.133584	0	0.716871	0.283129	4.1487e-012		0.966966	0.0272502	0.00198161	0.00380202	0	0.155294	0.174891	0.223268	0.446547	0	
Seg 20	578.993	99.67	0.869442	0.728208	0.141234	1.19539e-011	0.837295	0.162705	1.37712e-011		0.966943	0.0272744	0.00198125	0.00380132	0	0.155306	0.175045	0.223212	0.446437	0	
Seg 21	579.028	99.67	0.921541	0.771713	0.149828	3.9426e-011	0.837224	0.162776	4.28333e-011		0.966944	0.0272736	0.00198124	0.00380129	0	0.155315	0.175044	0.223209	0.446432	0	
Seg 22	579.068	99.67	0.973453	0.814942	0.158512	1.22514e-010	0.836984	0.163016	1.25996e-010		0.966945	0.0272727	0.00198123	0.00380126	0	0.155325	0.175043	0.223206	0.446426	0	
