Results for well: PROD_Seg.out in the reservoir: PROD_Seg.out

t	BHP	q(Gas)	q(Oil)	 q(Water)
days	psi	Mscf/d	stb/d	stb/d
0         	0         	-         	0         	0         	0         	

Seg No.	BHP	Temp	Vm(m/s)	Vsg	Vso	Vsw	alpha_G	alpha_O	alpha_W	Y[0]	Y[1]	Y[2]	Y[3]	Y[4]	X[0]	X[1]	X[2]	X[3]	X[4]	
Seg 17	427.646	99.67	8.86411	7.85453	1.00958	1.49724e-007	0.841644	0.158356	2.34848e-008		0.961879	0.0318728	0.00212742	0.00412064	0	0.116336	0.177741	0.235311	0.470613	0	
Seg 18	432.943	99.67	8.77045	7.74917	1.02128	1.5606e-007	0.838421	0.161579	2.46905e-008		0.962122	0.0316575	0.00211834	0.0041017	0	0.117728	0.177713	0.234856	0.469703	0	
Seg 19	438.242	99.67	8.67892	7.64688	1.03205	1.62615e-007	0.835297	0.164703	2.59516e-008		0.96236	0.0314469	0.00210963	0.00408348	0	0.119118	0.177678	0.234404	0.4688	0	
Seg 20	440.562	99.67	8.64994	7.60884	1.0411	1.69394e-007	0.879618	0.120382	1.95871e-008		0.962462	0.0313561	0.00210594	0.00407573	0	0.119727	0.17766	0.234207	0.468406	0	
Seg 21	442.879	99.67	8.61604	7.57144	1.0446	1.72922e-007	0.878741	0.121259	2.00731e-008		0.962563	0.0312664	0.00210231	0.00406812	0	0.120333	0.177641	0.234011	0.468014	0	
Seg 22	445.192	99.67	8.58222	7.5344	1.04782	1.76498e-007	0.877888	0.122112	2.05689e-008		0.962663	0.0311777	0.00209876	0.00406065	0	0.120939	0.177621	0.233815	0.467624	0	
Seg 23	447.501	99.67	8.54845	7.49772	1.05073	1.80121e-007	0.877066	0.122934	2.1074e-008		0.962761	0.0310901	0.00209527	0.00405333	0	0.121543	0.1776	0.233621	0.467236	0	
Seg 24	380.683	99.67	10.2925	9.5974	0.695119	1.07705e-007	0.932449	0.0675512	1.04667e-008		0.959677	0.0337611	0.00222973	0.00433166	0	0.103894	0.176282	0.239947	0.479877	0	
Seg 25	382.762	99.67	10.2443	9.54915	0.695097	1.10212e-007	0.932135	0.0678649	1.07604e-008		0.95979	0.0336645	0.00222445	0.00432082	0	0.104448	0.176343	0.239742	0.479467	0	
Seg 26	384.832	99.67	10.1968	9.50164	0.695124	1.12785e-007	0.931816	0.0681836	1.10629e-008		0.959901	0.0335693	0.00221927	0.0043102	0	0.104999	0.176402	0.239539	0.47906	0	
